benefit,sub-benefit,category,plain language,strength of science,,study description,study source,link to study 1,link to study 2,link to study 3,link to study 4,link to study 5,,,,other link,dropoff >>>,http://www.mindandlife.org/meditation-its-not-what-you-think/,http://www.huffingtonpost.com/2013/09/16/eight-meditation-brain-benefits_n_3903855.html?ir=Healthy+Living,http://en.wikipedia.org/wiki/Research_on_meditation#Research_by_effects_of_meditation
,cardiovascular health,physical,"Transcendental Meditation appears to positively affect several markers of cardiovascular health. In a 5-year trial of 200 African Americans with heart disease, those who practiced TM regularly were 48% less likely to have a heart attack, stroke or die from all causes compared with those who attended a health education class.",2,,"Walton et al 2004 (1), pilot study: transcendental meditation appears to lower levels of cortisol, a marker of metabolic stress, after glucose ingestion among postmenopausal women. Those who meditated for longer showed lower cortisol levels. TM may improve endocrine regulation. Schneider et al 2012: African Americans with heart disease who practiced Transcendental Meditation regularly were 48 percent less likely to have a heart attack, stroke or die from all causes compared with African Americans who attended a health education class over more than five years. Barnes 2012: Research on adults with mild or moderate essential hypertension has reported decreased blood pressure and reduced use of anti-hypertensive medication. The technique has also been reported to decrease symptoms of angina pectoris and carotid atherosclerosis, to reduce cardiovascular risk factors, including alcohol and tobacco use, to markedly reduce medical care utilization for cardiovascular diseases, and to significantly decrease cardiovascular and all-cause morbidity and mortality. Walton 2004 (2) Evidence for the ability of TM to reduce traditional and novel risk factors for CVD includes: 1) decreases in blood pressure, 2) reduced use of tobacco and alcohol, 3) lowering of high cholesterol and lipid oxidation, and 4) decreased psychosocial stress. Changes expected to result from reducing these risk factors, namely, reversal of atherosclerosis, reduction of myocardial ischemia and left ventricular hypertrophy, reduced health insurance claims for CVD, and reduced mortality, also have been found with TM practice.",Walton et al 2004 (1); Schneider et al 2012; Barnes and Orme-Johnson 2012; Walton et al 2004 (2),http://www.ncbi.nlm.nih.gov/pubmed/15677413,http://dx.doi.org/10.1161/CIRCOUTCOMES.112.967406,http://www.ncbi.nlm.nih.gov/pubmed/23204989,http://www.ncbi.nlm.nih.gov/pubmed/15316306,,,,,,,,,
,immune system,physical,"Meditation may reduce stress-induced immune responses and reduce susceptibility to colds and flu: in trials, meditating subjects took fewer days off work.",2,,"Since your immune system, for reasons unknown, responds to both negative thoughts and positive thoughts, meditation creates conditions in which the immune system can strengthen and increase. Pace et al 2009: These data suggest that engagement in compassion meditation may reduce stress-induced immune and behavioral responses. Saaticoglu 2012: Three recent studies started to provide some of this information through gene expression profiling in circulating immune cells, which support the hypothesis that yogic/meditative practices have a measurable effect at the molecular level. Barrett et al 2012: Study shows that people older than 50 involved in mindfulness training can reduce the incidence, duration or severity of acute respiratory infections (ARI) by 40 to 50 percent and the use of exercise can reduce symptoms by 30 to 40 percent. Rakel et al 2013: Meditation reduces acute respiratory infection associated costs esp. through reduction in missed days of work, compared to exercise or controls.",Pace et al 2009; Saaticoglu 2013; Barret et al 2012; Rakel et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/18835662,http://www.ncbi.nlm.nih.gov/pubmed/23380323,http://www.ncbi.nlm.nih.gov/pubmed/22778122,http://www.ncbi.nlm.nih.gov/pubmed/23515373,,,,,http://eocinstitute.org/meditation/boosting-your-immune-system-with-meditation/,,,,
,ageing,physical,Practicing meditation is associated with longer telomeres – biomarkers associated with longevity – possibly because it reduces stress. One study showed Zen meditation could reduce age-related cognitive decline. ,2,,"2013: Among 15 women practicing loving kindness meditation and 22 controls, the meditating group had longer telomeres, a biomarker associated with longevity. Relatively short telomere length may serve as a marker of accelerated aging, and shorter telomeres have been linked to chronic stress. Specific lifestyle behaviors that can mitigate the effects of stress might be associated with longer telomere lengths. 2009: some forms of meditation may have salutary effects on telomere length by reducing cognitive stress and stress arousal and increasing positive states of mind and hormonal factors that may promote telomere maintenance. Pagnoni and Cekic 2007: study of 13 meditators and controls - Zen meditation appears to have neuroprotective effects and reduces the cognitive decline associated with ageing.",Hoge et al 2013; Epel et al 2009,http://www.ncbi.nlm.nih.gov/pubmed/23602876,http://www.ncbi.nlm.nih.gov/pubmed/19735238,http://www.ncbi.nlm.nih.gov/pubmed/17655980,http://www.ncbi.nlm.nih.gov/pubmed/21035949,,,,,,,,,
,blood pressure,physical,Evidence that regularly practising Transcendental or Zen meditation may reduce blood pressure. ,2,,"Brook et al 2013: Among behavioral therapies, Transcendental Meditation (Class IIB, Level of Evidence B), other meditation techniques (Class III, Level of Evidence C), yoga (Class III, Level of Evidence C), other relaxation therapies (Class III, Level of Evidence B), and biofeedback approaches (Class IIB, Level of Evidence B) generally had modest, mixed, or no consistent evidence demonstrating their efficacy (in lowering blood pressure). Chiesa and Serretti 2010: Zen meditation significantly reduces blood pressure. Anderson et al 2008, review of 9 RCTs of variable quality (3 high, 3 acceptable): The regular practice of Transcendental Meditation may have the potential to reduce systolic and diastolic blood pressure by approximately 4.7 and 3.2 mm Hg, respectively, compared with controls. These are clinically meaningful changes. Subgroup analyses of hypertensive groups and high-quality studies showed similar reductions. Barnes et al 2004: transcendental meditation appears to reduce blood pressure among African American adolescents, but results only on the threshold of statistical significance. S and P 2012: the long-term practice of Raja Yoga meditation improves basic cardio-respiratory functions due to shifting of the autonomic balance in favor of parasympathetic instead of sympathetic system.",Brook et al 2013; Chiesa and Serretti 2010; Anderson et al 2008; Barnes et al 2004; Suskhsohale and Phatak 2012,http://www.ncbi.nlm.nih.gov/pubmed/23608661,http://www.ncbi.nlm.nih.gov/pubmed/18311126,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3293501/?report=reader,http://www.ncbi.nlm.nih.gov/pubmed/23781660,,,,,,,,,
,motor skills,"physical, cognitive","Mindfulness associated with slower, more controlled body movements and better awareness of movement. ",1,,"Naranjo and Schmidt: mindfulness associated with slower body movements, which may lead to an increase in monitoring of  body state and optimized re-adjustment of movement trajectory and consequently to better motor performance.",Naranjo and Schmidt 2012,http://www.ncbi.nlm.nih.gov/pubmed/22846109,,,,,,,,,,,,
,brain structure,"physical, cognitive","Meditation physically changes your brain. Long-term meditation practitioners show significant differences in brain structure compared to non-meditating controls in several areas, including those relating to breathing, pain and emotion.",4,,"Vestergaard-Poulsen et al 2009: Long-term meditation is associated with increased gray matter density in the brain, and structural differences in brain stem regions concerned with heart rate and breathing [cardiorespiratory control]. Kang et al 2013: long term meditators had significantly greater cortical thickness in several areas of the brain and significantly thinner in others. Long term-meditators have structural differences in both gray and white matter. Leung et al 2013: experience in loving kindness meditation may influence brain structures associated with affective regulation. Grant et al 2010: Zen meditators less sensitive to pain than controls, and had thinner cortices in pain-related brain regions.",Vestergaard-Poulsen et al 2009; Kang et al 2013; Leung et al 2013; Grant et al 2010,http://www.ncbi.nlm.nih.gov/pubmed/19104459,http://www.ncbi.nlm.nih.gov/pubmed/22569185,http://www.ncbi.nlm.nih.gov/pubmed/22814662,http://www.ncbi.nlm.nih.gov/pubmed/20141301,,,,,,,,,
,binge eating,"cognitive, emotional, physical","Mindfulness training decreases binge eating across a variety of samples.
•
It reduces emotional eating for individuals engaging in this behavior.
•
Mindfulness meditation does not consistently produce significant weight loss.",2,,"Mindfulness-based approaches are growing in popularity as interventions for disordered eating and weight loss. Initial research suggests that mindfulness meditation may be an effective intervention for binge eating; however, no systematic review has examined interventions where mindfulness meditation was the primary intervention and no review has examined its effect on subclinical disordered eating or weight. Using the PRISMA method for systematic reviews, we reviewed 14 studies that investigated mindfulness meditation as the primary intervention and assessed binge eating, emotional eating, and/or weight change. Results suggest that mindfulness meditation effectively decreases binge eating and emotional eating in populations engaging in this behavior; evidence for its effect on weight is mixed. Additional research is warranted to determine comparative effectiveness and long-term effects of mindfulness training.",Katterman et al 2014,http://www.sciencedirect.com/science/article/pii/S1471015314000191,,,,,,,,,,,,
,age-related brain atrophy,"physical, cognitive","We observed that the age-related gray matter loss was less pronounced in meditators than in controls, both globally and locally.",3,,"Examining the link between age and whole-brain gray matter, we observed a significant negative correlation in controls (p < 0.001) as well as in meditators (p < 0.001), suggesting age-related gray matter decline in both groups. However, as shown in Figure 1, the slopes of the regression lines were considerably steeper in controls than in meditators. Moreover, the group-specific correlation coefficients were higher in controls (r = −0.77) than in meditators (r = −0.58). The group-by-age interaction was highly significant (p = 0.003), altogether suggesting less age-related gray matter decline in meditators than in controls.",Luders et al 2015,http://journal.frontiersin.org/article/10.3389/fpsyg.2014.01551/full,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Problems with scientific research into meditation >>>,,,,,"many meditation studies, including Davidson’s, are funded by the John Templeton Foundation, a philanthropic organization that has frequently been criticized for trying to blur the boundaries between science and religion. (Davidson says that the foundation is “doing a great service” and that the money comes with no strings attached.) Another problem is that meditation research is not known for rigor. In 2007, scientists working for the U.S. National Center for Complementary and Alternative Medicine sifted through more than 800 studies looking at meditation’s health effects. They were not impressed.","Science Mag, 2013",-,,,,,,,,http://www.sciencemag.org/content/341/6152/1336.summary,,,,
,Problems with scientific research into meditation >>>,,,,,Back in 2007: Many uncertainties surround the practice of meditation. Scientific research on meditation practices does not appear to have a common theoretical perspective and is characterized by poor methodological quality. Firm conclusions on the effects of meditation practices in healthcare cannot be drawn based on the available evidence. Future research on meditation practices must be more rigorous in the design and execution of studies and in the analysis and reporting of results.,"Ospina et al, 2007",http://www.ncbi.nlm.nih.gov/pubmed/17764203,,,,,,,,-,,,,
